Message,upFeatureList,Spam_Ham
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,256 0 264 14 0 431 0 7 260 0 0 256,1
my ex-wife was not able to have kids. Do you want kids one day?,0 382 65 429 413,0
So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,84 75 65 33 21 14 0 48 16,0
Tell them u have a headache and just want to use 1 hour of sick time.,102 63 0 99 23 11,0
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",48 16 15 39 4 48 19 0 43 0 2 6,0
"\Pete can you please ring meive hardly gotany credit\""""",256 0 0 0,0
Ya srsly better than yi tho,195 44,0
"I'm in a meeting, call me later at",203 0 90,0
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",71 50 0 0 39 24 2 88 39 12 77 0 0,1
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,65536 0 130007 0 98310 144,1
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,65536 0 130007 0 98310 144,1
You still at grand prix?,286 1,0
"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",81 37 92 90 29 97 0 1 0 0 91 4 89 0 87,0
I am great! How are you?,0,0
Gud mrng dear have a nice day,2048,0
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,32 32 20 0 0 6 0 0 0 0,1
Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,33 32 0 0 0 8 31 43 35 0,0
I'm going out to buy mum's present ar.,48 33 2 12,0
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,64 0 0 111 104 7 68 6 2 33 127,0
If u sending her home first it's ok lor. I'm not ready yet.,128 0 4 0 0,0
Speaking of does he have any cash yet?,288 0 0,0
Be happy there. I will come after noon,483 255 500,0
Meet after lunch la...,483 255 500,0
TaKe CaRE n gET WeLL sOOn,45 0,0
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,26 26 2 47 32 0 37 0 8 46 50 51 0 4 0 16,1
what I meant to say is cant wait to see u again getting bored of this bridgwater banter,0 0 0 0 0 0 0,0
Neva mind it's ok..,32 0,0
"It's fine, imma get a drink or somethin. Want me to come find you?",161 18 80 190 41,0
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,3903 519 3072 128 3763 2654 3328 387,1
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,32 35 0 0 23 15 0 59 31 25 1 1 8 47 62 37 59,0
I have many dependents,164 220,0
THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,511 196 48 511 421 509 2 208,0
I called and said all to him:)then he have to choose this future.,238 40 8 0 251,0
"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",56 58 3 50 29 5 0 13 2 0 34 61 0 32 61 44 60,0
He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,200 0 207 219 0 0 16 161 3 98 0 96,0
For my family happiness..,33 63 1,0
I come n pick Ì_ up... Come out immediately aft ur lesson...,48 63 56 0 60 51 7,0
Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,129 190 0 48 253 32 0 29 111,0
Dear we got  &lt;#&gt;  dollars hi hi,0,0
Good words.... But words may leave u in dismay many times.,146 240 0 72 144,0
MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,0 0 0 0 37 0 1 0 5 0,0
"sorry, no, have got few things to do. may be in pub later.",684 4,0
"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",125175 13485 16404 2048 29399,0
"Haha good to hear, I'm officially paid and on the market for an 8th",256 0 0 0 0,0
How many licks does it take to get to the center of a tootsie pop?,36 10 43 0 0 22 6,0
Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,32 63 24 62 2 4 0 0 0 62 2,0
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,2221 3560 176 3360 512 3954 0 3943,1
Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,0 6014 0 0 902 101 7039 7930 65,1
Please dont say like that. Hi hi hi,2306 24,0
Oh that was a forwarded message. I thought you send that to me,73 50 121 16 127 40,0
Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.,445 97 215 0,0
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",128 173 208 51 245 252 243 0 228 251 70 0 1,1
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",1458 1919 520 24 1919 2034,0
When Ì_ login dat time... Dad fetching Ì_ home now?,58 30 7 49 2 9,0
"What will we do in the shower, baby?",119 57 85,0
I had askd u a question some hours before. Its answer,44 42 17 63 63 9,0
"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",48 32 63 36 0 4 31 57 15 3,0
" said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",121 0 189 34 118 255 191 32 23 68 132,0
Probably gonna swing by in a wee bit,1024 1058,0
Ya very nice. . .be ready on thursday,0,0
Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week,544 0 0 108 0 384 0 384 305,0
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",3352 682 472 0 1089,0
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,2051 160 3661 0,0
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,123 111 113 32 108 127 127 0 17 28 112 127 16 7,1
No prob. I will send to your email.,63 41 16 1,0
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",74 8 99 32 16 25 0 127 0 16,1
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),119 53 109 0 106 71 3,0
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,6737 128 2129 1327 96 7619,0
"Wait, do you know if wesleys in town? I bet she does hella drugs!",1088 0 0 4,0
Fine i miss you very much.,880,0
Did u got that persons story,131072,0
Tell them the drug dealer's getting impatient,16401 512,0
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",617 216 722 476 578 561 0 589 512 0 249,0
You will be in the place of that man,130 0 9,0
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",44 13 41 59 18 21 24 0 1 33 0,0
88800 and 89034 are premium phone services call 08718711108,8191 2305 179,1
"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",262914 196475 16432 458607 98368,0
Sorry me going home first... Daddy come fetch Ì_ later...,554872 1043383,0
Leave it de:-). Start Prepare for next:-)..,4096,0
Yes baby! We can study all the positions of the kama sutra ;),645636 403647,0
En chikku nange bakra msg kalstiya..then had tea/coffee?,5139 4640 7671,0
Carlos'll be here in a minute if you still need to buy,0 128 14,0
This pay is  &lt;DECIMAL&gt;  lakhs:),0,0
Have a good evening! Ttyl,7092,0
Ho ho - big belly laugh! See ya tomo,544 76,0
SMS. ac sun0819 posts HELLO:\You seem cool,16255 1600,1
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,0 241 1677 63 0 19 0 0 31 0,1
"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",102 65 56 78 26 55 91 15 126 64 73 88 21 40 95,0
"I've got  &lt;#&gt; , any way I could pick up?",48 38 24 8 0,0
"I dont knw pa, i just drink milk..",48 38 24 8 0,0
Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,71 66 120 118 12 93 0,0
"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",31423 19182 3592,0
Cause I'm not freaky lol,0,0
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,108 0 0 2 1 103 109 5 79 2,0
What is this 'hex' place you talk of? Explain!,121 18 0 78,0
ÌÏ log off 4 wat. It's sdryb8i,70,0
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,359 505 0 187 202 462 483 258 19 480 259 0,1
I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,43 13 1 20 2 48 0 29 18,0
Have you finished work yet? :),255 8,0
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",0 0 0 136 40 0 93 8 0 2,0
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",127 1 54 0 0 0 82 63 71 0 127 75 0 28 127 18 47,0
Thanks love. But am i doing torch or bold.,80 16 0 36,0
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,50 0 0 0 31 0 0 0 0 0 0 0 0,1
"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",1593215 1369075 736017,0
"My sister in law, hope you are having a great month. Just saying hey. Abiola",1193 512 0 0 24,0
Will purchase d stuff today and mail to you. Do you have a po box number?,1949 0 641 1024,0
Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,792 0 935 0 2 376,0
Good. Good job. I like entrepreneurs,0 230 84,0
"Aight, you close by or still down around alex's place?",248 0 8 141 79,0
meet you in corporation st outside gap Û_ you can see how my mind is working!,1 10302 0,0
Mum ask Ì_ to buy food home...,373 301,0
K..u also dont msg or reply to his msg..,448 0 0,0
How much r Ì_ willing to pay?,512 0,0
"Sorry, I'll call later",0,0
What is important is that you prevent dehydration by giving her enough fluids,128 16 65 0 68 0 0,0
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",238 8 96 0 0 0 192 242 0,0
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,32 26 5 1 0 16 29 4,0
"I don't think I can get away for a trek that long with family in town, sorry",17424 21832 0,0
So when do you wanna gym harri,2048,0
Quite late lar... Ard 12 anyway i wun b drivin...,4099 6528,0
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",64 0 0 0 112 0 22 0 16 92 118 0 95 0 16 0,1
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,314 0 178 256 1 0 14 32 8 3 0 0 288,1
Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,64 64 0 114 49 65 55 28 94 11 9 102 44 71 0 79 0 51 16 0 41 97 80 0 16 0 6,0
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,2619 0 0 3567 0 2329 0 1414 2267 3757 0 2593,0
08714712388 between 10am-7pm Cost 10p,0 247 0,1
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",834 713 816 359 32 284 0 584 0,0
He also knows about lunch menu only da. . I know,112 0 0 7,0
When i have stuff to sell i.ll tell you,4096 580,0
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,63 26 26 0 20 59 1 49 55 59 46 5 62 4 28 58 12 0 11 55,1
Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,35 32 20 47 56 24 32 25 60 0 38 53 32 0,0
You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,73 96 1 112 111 127 16 0 0 41 0 0 20 96 62,1
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,64 0 16 0 10 96 45 0 57 36 56 41 9 1 74 96,0
Oh is it? Send me the address,0,0
S'fine. Anytime. All the best with it.,4225 8320,0
That is wondar full flim.,321 328,0
Ya even those cookies have jelly on them,125 0 0 1,0
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",61 48 0 39 63 15 32 46 2 0 25 23 9 27 38 0 0 0 4 0 0 0 0 52 0 16,0
Got it! It looks scrumptious... daddy wants to eat you all night long!,156 8 39 246 0 0,0
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,1024 1054 0 1792 887 1792 1540 0,0
"Alright omw, gotta change my order to a half8th",32 0 0 35 0,0
Exactly. Anyways how far. Is jide her to study or just visiting,32 58 63 51 52 18 0,0
Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,168 76 217 0 252 194 0 0 74,1
No he didn't. Spring is coming early yay!,0,0
Lol you won't feel bad when I use her money to take you out to a steak dinner =D,63 63 24 55 4 12 19 0,0
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,42 0 31 30 14 56 16 24 0 7 4 45 4 9 51 0,0
Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,63 0 0 0 24 38 25 1 0 56 43 8,0
Then why no one talking to me,63 0 0 0 24 38 25 1 0 56 43 8,0
Thanks for looking out for me. I really appreciate.,40 0 18 0 63 0,0
Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,16 0 17 8 2 60 1 66 84 31 127 60 31 60 1,1
Wish i were with you now!,33 18,0
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,32 45 0 5 8 61 63 0 22 59 55 28 2 26 0 55 53,0
Yes i will be there. Glad you made it.,48 63 62 0,0
Do well :)all will for little time. Thing of good times ahead:,33 48 54 31 48 53 0,0
Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,38 13 8 4 0 0 33 19 0 63 30 0 34 59 20 51 3 2 4 3,0
Ok. There may be a free gym about.,706 641,0
Men like shorter ladies. Gaze up into his eyes.,1568 206 1274,0
Dunno he jus say go lido. Same time 930.,16656 3599,0
"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",65 0 0 0 111 32 16 89 0 0 17,0
U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,853 926 344 623 0 0 133 991 903,1
Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,64 49 80 16 60 45 0 92 0 5,0
By monday next week. Give me the full gist,94 103 127 127,0
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",33 63 46 0 63 63 0 21 61 4 63 23,1
You have an important customer service announcement from PREMIER.,75 121 127 1 97 116 0,1
Dont gimme that lip caveboy,256 140,0
When did you get to the library,256 399,0
Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,247 84 210 222 177 47 71,0
So why didnt you holla?,512,0
Cant think of anyone with * spare room off * top of my head,6148 72 0,0
"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",4096 12 5992 1536 1 4096 32 2970,0
U should have made an appointment,41 0 0 4,0
"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",101 103 123 2 30 59 126 40 87,0
"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",64 102 119 2 111 37 11 0 100 96,1
"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",128 6 0 13 32 3 0 164 156 36 0 165,0
Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,66 0 47 0 127 12 0 0 1 0 121 13 0 12 1 83 103 0,1
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,4160 25 5116 2620 896 0 0 0,0
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",55888 64319 4032,0
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,6152 5859 0 6343 0 32 7935 8102 0,1
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",770 0 256 204 895 988 594,0
I cant pick the phone right now. Pls send a message,510 427 383 371,0
Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,0 25 21 23 49 0 0 0 8 28 61 0 54 33 17 27,0
Not getting anywhere with this damn job hunting over here!,64 17 0 0 64 29,0
Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,0 30 16 0 3 116 19 16,0
"idc get over here, you are not weaseling your way out of this shit twice in a row",0 0 45 54 36 0 14 25 52,0
I wil be there with in  &lt;#&gt;  minutes. Got any space,8192 0 1536,0
Just sleeping..and surfing,4099,0
Thanks for picking up the trash.,28981,0
Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,215184 46240 85461 0 13912 65568,0
"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",254 0 198 14 178 223 0 29 138 9,0
Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,51 0 60 30 50 50 51 10 63 63 0 0 39 63 4 59,0
That means get the door,63 0,0
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,111 0 8 49 97 48 0 0 0 118 14 63 76,0
"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",39 43 15 56 4 0 0 0 31 0,0
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,73 33 81 0 97 84 0 119 87 0,1
Dont think so. It turns off like randomlly within 5min of opening,478 453 405 495 169,0
"She was supposed to be but couldn't make it, she's still in town though",928 0 0 144 130,0
It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,1382 64 0 1 1058 1461 0,0
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),5302 754 65 1072 81 6153 5651,1
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.",201 0 156 0 240 19 160 0 167 196 32 8 71 0,1
Gud mrng dear hav a nice day,654 322,0
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,61 12 17 47 0 63 5 0 51 37 54 0 11 0 8 36 0,0
All e best 4 ur driving tmr :-),0,0
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!,32 85 0 1 0 92 31,0
Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,0 5 8 0 1 32 0 48,0
There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,126 16 39 32 13 8 0 21 117,0
it's really getting me down just hanging around.,350 395 375 0,0
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",2048 1024 3135 1360 4078 192 1 3948 2168 1442,1
"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",3072 3455 0 2064 1968 2246,0
Ok i msg u b4 i leave my house.,131584,0
"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",51 4 31 8 1,0
"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",55 0 33 48 0 1 49 8 1 0 62 16 0 62 23 0 52 0,1
Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,133 34 0 98 64 200,0
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,242 13 128 137 167 131 239 199 0 88 239 68 0 241,1
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,128 0 239 85 0 0 192 1 0 0 48 0 0,1
K I'll be there before 4.,3584,0
"sure, but make sure he knows we ain't smokin yet",8 0 32 104,0
Boooo you always work. Just quit.,32 29 6 13,0
I am taking half day leave bec i am not well,127 126 127 97,0
Ugh I don't wanna get out of bed. It's so warm.,0 32 48 6 34,0
S:)s.nervous  &lt;#&gt; :),0 32 48 6 34,0
So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,37 47 31 34 59 63 0 61 0 36 46 5 63,0
Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,34 31 0 40 55 8 47 8 51 55 25 49 1 16 39 9 2 0,1
I borrow ur bag ok.,116,0
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",44 0 34 5 2 47 55 12 44 10 2 8 51 63 16,1
Where's my boytoy? I miss you ... What happened?,62 8 24 0 20,0
"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",248 0 8 109 0 110 155 27 202,0
Also are you bringing galileo or dobby,74 27 0 0,0
Then why you not responding,116 2,0
"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IåÕLLSPEAK 2U SOONLOTS OF LOVEME XXXX.\""""",1 84 28 8 34 70 2 2 55 128 37,0
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,544 303 950 119 259 0 856 0 8,0
On the road so cant txt,260,0
"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",616 661 4095 478 16308 16383 8193 0 8368,1
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,894 165 0 31 633 0 484 0 512 159 0,1
Have a good evening! Ttyl,128 3,0
Hmm .. Bits and pieces lol ... *sighs* ...,0 16 0,0
Hahaha..use your brain dear,222 223,0
"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",538742 889690 0,0
Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,2034 2047 0 1714 347 1137,0
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,16384 2048 3707 0 5 0 24375,1
Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,2316 2392 1 1169 1059 1831 1348,0
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",1885 0 1467 1750 256 1949 2042 11 2047 291,1
"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",120 63 126 126 115 56 73 78 0 16 95 56 80 24 16 69 94 16 96 2 1,0
Surely result will offer:),32 33 0,0
Good Morning my Dear........... Have a great &amp; successful day.,72 87 0 0 75 87 30,0
Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,214 242 200 87 1 0 49 0 151 0 0 0 211,1
"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",0 34 123 84 57 82 92 12 118 76 85 116 4 1 112 32 22 0 127 0 85 113 110 4 40 0 28 0 125 83 18 127 16 0 112 127 56,0
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,110 38 8 1 17 14 0 17 47 0 0 60 0 114 22 87,1
Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP,128 64 0 0 142 119 0 127 128 196 0 0 243 242 47,1
I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx,96 0 6 24 0 32 32,0
"Pls send me a comprehensive mail about who i'm paying, when and how much.",256 284 0 41 0 503,0
Our Prashanthettan's mother passed away last night. pray for her and family.,155 183 9 0 137 32 88,0
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",366 162 448 167 34 303 366 0 0 71 201 0,1
K.k:)when are you going?,40 0,0
Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,59 27 25 29 0 54 0 61 0 21 27 37 17 13 4 2 44 18 24 30 59 59 10 16 52 0 33,0
My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,39 0 0 0 4 0 29 8 17 1,0
I am in office:)whats the matter..msg me now.i will call you at break:).,431 208 471 166 0 7,0
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",918 1023 0 251 0 11 8,0
"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",511 368 0 240 3 3 462 0 0 55 274 0 458,1
U reach orchard already? U wan 2 go buy tickets first?,64 126 127 120 32,0
"I am real, baby! I want to bring out your inner tigress...",63 35 27 0 7 33,0
No da if you run that it activate the full version da.,64 2 0 0 20,0
